,reviews,review_lower,review_nopunc,review_nostop,review_noother,cleaned_review,polarity,subjectivity
10,Ordered from a fast food burger place that left out my burgers. 'Nuff said. Cheeseburger,ordered from a fast food burger place that left out my burgers. 'nuff said. cheeseburger,ordered from a fast food burger place that left out my burgers nuff said cheeseburger,ordered fast food burger place left burgers nuff said cheeseburger,ordered fast food burger place left burgers nuff said cheeseburger,ordered fast food burger place left burger nuff said cheeseburger,0.1,0.3
11,"This is a quick review of the mobile app pickup service at this location. There was a long line of cars at the drive-through so I used the mobile app instead of waiting in a long line.I actually pulled into one of the two mobile pickup spots and placed my order using the McDonald's mobile app. I had my food in less than five minutes. The guy literally ran it out for me. If you ever go to McDonald's, be sure and get their mobile app. Lots of good deals on it!It was a great experience and I wouldn't hesitate to use their mobile pickup service again.","this is a quick review of the mobile app pickup service at this location. there was a long line of cars at the drive-through so i used the mobile app instead of waiting in a long line.i actually pulled into one of the two mobile pickup spots and placed my order using the mcdonald's mobile app. i had my food in less than five minutes. the guy literally ran it out for me. if you ever go to mcdonald's, be sure and get their mobile app. lots of good deals on it!it was a great experience and i wouldn't hesitate to use their mobile pickup service again.",this is a quick review of the mobile app pickup service at this location there was a long line of cars at the drivethrough so i used the mobile app instead of waiting in a long linei actually pulled into one of the two mobile pickup spots and placed my order using the mcdonalds mobile app i had my food in less than five minutes the guy literally ran it out for me if you ever go to mcdonalds be sure and get their mobile app lots of good deals on itit was a great experience and i wouldnt hesitate to use their mobile pickup service again,quick review mobile app pickup service location long line cars drivethrough used mobile app instead waiting long linei actually pulled one two mobile pickup spots placed order using mcdonalds mobile app food less five minutes guy literally ran ever go mcdonalds sure get mobile app lots good deals itit great experience wouldnt hesitate use mobile pickup service,quick review mobile app pickup service location long line cars drivethrough used mobile app instead waiting long linei actually pulled mobile pickup spots placed order using mcdonalds mobile app food less five minutes guy literally ran ever mcdonalds sure mobile app lots good deals itit great experience wouldnt hesitate use mobile pickup service,quick review mobile app pickup service location long line car drivethrough used mobile app instead waiting long linei actually pulled mobile pickup spot placed order using mcdonalds mobile app food le five minute guy literally ran ever mcdonalds sure mobile app lot good deal itit great experience wouldnt hesitate use mobile pickup service,0.3190476190476191,0.5198412698412699
12,5 stars today for the great customer service I received today from a employee by the name Erick. 2am and he treated me with kindness and a smile! Rare in todays world! He needs a raise. I had to leave a comment.,5 stars today for the great customer service i received today from a employee by the name erick. 2am and he treated me with kindness and a smile! rare in todays world! he needs a raise. i had to leave a comment.,5 stars today for the great customer service i received today from a employee by the name erick 2am and he treated me with kindness and a smile rare in todays world he needs a raise i had to leave a comment,5 stars today great customer service received today employee name erick 2am treated kindness smile rare todays world needs raise leave comment,5 stars today great customer service received today employee name erick 2am treated kindness smile rare todays world needs raise leave comment,5 star today great customer service received today employee name erick 2am treated kindness smile rare today world need raise leave comment,0.46666666666666673,0.5833333333333334
13,Very clean and organized. I like it made me feel comfortable. The staff are very nice and polite do there job very well. The staff are fast and know how to keep the line short. You order in one side and pick up in the other side. They have seating available. In the first floor you can sit or go up the stairs to more seating and the bathrooms. Didn't go in the bathroom's but I know they have bathrooms. This is one of the best McDonald's I ever been into. I will be coming back here.,very clean and organized. i like it made me feel comfortable. the staff are very nice and polite do there job very well. the staff are fast and know how to keep the line short. you order in one side and pick up in the other side. they have seating available. in the first floor you can sit or go up the stairs to more seating and the bathrooms. didn't go in the bathroom's but i know they have bathrooms. this is one of the best mcdonald's i ever been into. i will be coming back here.,very clean and organized i like it made me feel comfortable the staff are very nice and polite do there job very well the staff are fast and know how to keep the line short you order in one side and pick up in the other side they have seating available in the first floor you can sit or go up the stairs to more seating and the bathrooms didnt go in the bathrooms but i know they have bathrooms this is one of the best mcdonalds i ever been into i will be coming back here,clean organized like made feel comfortable staff nice polite job well staff fast know keep line short order one side pick side seating available first floor sit go stairs seating bathrooms didnt go bathrooms know bathrooms one best mcdonalds ever coming back,clean organized like made feel comfortable staff nice polite job well staff fast know keep line short order side pick side seating available first floor sit stairs seating bathrooms didnt bathrooms know bathrooms best mcdonalds ever coming back,clean organized like made feel comfortable staff nice polite job well staff fast know keep line short order side pick side seating available first floor sit stair seating bathroom didnt bathroom know bathroom best mcdonalds ever coming back,0.3574074074074074,0.4925925925925925
14,Just an average McDonald's Nothing particularly special. Love a late night burger though,just an average mcdonald's nothing particularly special. love a late night burger though,just an average mcdonalds nothing particularly special love a late night burger though,average mcdonalds nothing particularly special love late night burger though,average mcdonalds nothing particularly special love late night burger though,average mcdonalds nothing particularly special love late night burger though,0.1017857142857143,0.5428571428571428
15,"This specific McDonald's is just straight garbage.  We order for my daughter and they gave the wrong sandwich.  We ordered the new menu item Surf & Turf, and they screwed that up.  Again with the wrong sandwich.  The cashier gave nothing but attitude and was short with all her responses.  The French fries were old and crusty and it was just another thing that was just wrong with this specific McDonald's.Would not go to this again, not worth the grief.","this specific mcdonald's is just straight garbage.  we order for my daughter and they gave the wrong sandwich.  we ordered the new menu item surf & turf, and they screwed that up.  again with the wrong sandwich.  the cashier gave nothing but attitude and was short with all her responses.  the french fries were old and crusty and it was just another thing that was just wrong with this specific mcdonald's.would not go to this again, not worth the grief.",this specific mcdonalds is just straight garbage  we order for my daughter and they gave the wrong sandwich  we ordered the new menu item surf  turf and they screwed that up  again with the wrong sandwich  the cashier gave nothing but attitude and was short with all her responses  the french fries were old and crusty and it was just another thing that was just wrong with this specific mcdonaldswould not go to this again not worth the grief,specific mcdonalds straight garbage order daughter gave wrong sandwich ordered new menu item surf turf screwed wrong sandwich cashier gave nothing attitude short responses french fries old crusty another thing wrong specific mcdonaldswould go worth grief,specific mcdonalds straight garbage order daughter gave wrong sandwich ordered new menu item surf turf screwed wrong sandwich cashier gave nothing attitude short responses french fries old crusty another thing wrong specific mcdonaldswould worth grief,specific mcdonalds straight garbage order daughter gave wrong sandwich ordered new menu item surf turf screwed wrong sandwich cashier gave nothing attitude short response french fry old crusty another thing wrong specific mcdonaldswould worth grief,-0.13030303030303028,0.3837121212121212
16,The drive thru person taking orders was abrupt and appeared uninterested. He was audible and had to keep repeating the two items I ordered. Once I finally got to the window my iced coffee was not made and asked if I wanted caramel which has wrong.Stuff dripping on the outside of the cup and it tasted awful!!! Too far to turn around..... I won't be back!!!!,the drive thru person taking orders was abrupt and appeared uninterested. he was audible and had to keep repeating the two items i ordered. once i finally got to the window my iced coffee was not made and asked if i wanted caramel which has wrong.stuff dripping on the outside of the cup and it tasted awful!!! too far to turn around..... i won't be back!!!!,the drive thru person taking orders was abrupt and appeared uninterested he was audible and had to keep repeating the two items i ordered once i finally got to the window my iced coffee was not made and asked if i wanted caramel which has wrongstuff dripping on the outside of the cup and it tasted awful too far to turn around i wont be back,drive thru person taking orders abrupt appeared uninterested audible keep repeating two items ordered finally got window iced coffee made asked wanted caramel wrongstuff dripping outside cup tasted awful far turn around wont back,drive person taking orders abrupt appeared uninterested audible keep repeating items ordered finally got window iced coffee made asked wanted caramel wrongstuff dripping outside cup tasted awful far turn around wont back,drive person taking order abrupt appeared uninterested audible keep repeating item ordered finally got window iced coffee made asked wanted caramel wrongstuff dripping outside cup tasted awful far turn around wont back,-0.1708333333333333,0.6749999999999999
17,"Lastima que no hay estrella cero , los empleados deberian a estar más entrenados , siempre me toca con la cajera del Drive con mala actitud y falta de respeto a los clientes , piensa que van a pedir las cosas de gratis , y no , está vez se enojo Porq no le di un código por speaker, cuando otros me han pedido que se los de personalmente , en verdad si quieres empezar bien tu día , no vengas aquí , !!!!!!!!!!!!","lastima que no hay estrella cero , los empleados deberian a estar más entrenados , siempre me toca con la cajera del drive con mala actitud y falta de respeto a los clientes , piensa que van a pedir las cosas de gratis , y no , está vez se enojo porq no le di un código por speaker, cuando otros me han pedido que se los de personalmente , en verdad si quieres empezar bien tu día , no vengas aquí , !!!!!!!!!!!!",lastima que no hay estrella cero  los empleados deberian a estar más entrenados  siempre me toca con la cajera del drive con mala actitud y falta de respeto a los clientes  piensa que van a pedir las cosas de gratis  y no  está vez se enojo porq no le di un código por speaker cuando otros me han pedido que se los de personalmente  en verdad si quieres empezar bien tu día  no vengas aquí  ,lastima que hay estrella cero los empleados deberian estar más entrenados siempre toca con la cajera del drive con mala actitud falta de respeto los clientes piensa que van pedir las cosas de gratis está vez se enojo porq le di un código por speaker cuando otros han pedido que se los de personalmente en verdad si quieres empezar bien tu día vengas aquí,lastima que hay estrella cero los empleados deberian estar más entrenados siempre toca con la cajera del drive con mala actitud falta de respeto los clientes piensa que van pedir las cosas de gratis está vez se enojo porq le di un código por speaker cuando otros han pedido que se los de personalmente en verdad si quieres empezar bien tu día vengas aquí,lastima que hay estrella cero los empleados deberian estar más entrenados siempre toca con la cajera del drive con mala actitud falta de respeto los clientes piensa que van pedir la cosas de gratis está vez se enojo porq le di un código por speaker cuando otros han pedido que se los de personalmente en verdad si quieres empezar bien tu día vengas aquí,0.0,0.0
18,Drive thru service is horrible the lady taking orders in the morning is very rude with no manners whatsoever.,drive thru service is horrible the lady taking orders in the morning is very rude with no manners whatsoever.,drive thru service is horrible the lady taking orders in the morning is very rude with no manners whatsoever,drive thru service horrible lady taking orders morning rude manners whatsoever,drive service horrible lady taking orders morning rude manners whatsoever,drive service horrible lady taking order morning rude manner whatsoever,-0.65,0.8
19,"McDonald's always pleases with its delicious food. The employees are always friendly, which is especially pleasing in the morning when I come here before work. Sometimes there are a lot of people and you have to wait for your order","mcdonald's always pleases with its delicious food. the employees are always friendly, which is especially pleasing in the morning when i come here before work. sometimes there are a lot of people and you have to wait for your order",mcdonalds always pleases with its delicious food the employees are always friendly which is especially pleasing in the morning when i come here before work sometimes there are a lot of people and you have to wait for your order,mcdonalds always pleases delicious food employees always friendly especially pleasing morning come work sometimes lot people wait order,mcdonalds always pleases delicious food employees always friendly especially pleasing morning come work sometimes lot people wait order,mcdonalds always plea delicious food employee always friendly especially pleasing morning come work sometimes lot people wait order,0.4583333333333333,0.8333333333333334
20,"Tried using this deal at this location off la Brea and it didn't apply. Mind u this is my local McDonald's. I didn't get my discount on my mango smoothie which is well worth it I only pay like 1.25 for a smoothie. When I tell the manager he says oh that deal doesn't work at this location/ doesn't apply to a mango smoothie. BOY I've gotten here before y'all just mad lazy. This McDonald's always lacking, plus they act like the dips come out their paycheck.","tried using this deal at this location off la brea and it didn't apply. mind u this is my local mcdonald's. i didn't get my discount on my mango smoothie which is well worth it i only pay like 1.25 for a smoothie. when i tell the manager he says oh that deal doesn't work at this location/ doesn't apply to a mango smoothie. boy i've gotten here before y'all just mad lazy. this mcdonald's always lacking, plus they act like the dips come out their paycheck.",tried using this deal at this location off la brea and it didnt apply mind u this is my local mcdonalds i didnt get my discount on my mango smoothie which is well worth it i only pay like 125 for a smoothie when i tell the manager he says oh that deal doesnt work at this location doesnt apply to a mango smoothie boy ive gotten here before yall just mad lazy this mcdonalds always lacking plus they act like the dips come out their paycheck,tried using deal location la brea didnt apply mind u local mcdonalds didnt get discount mango smoothie well worth pay like 125 smoothie tell manager says oh deal doesnt work location doesnt apply mango smoothie boy ive gotten yall mad lazy mcdonalds always lacking plus act like dips come paycheck,tried using deal location la brea didnt apply mind u local mcdonalds didnt discount mango smoothie well worth pay like 125 smoothie manager oh deal doesnt work location doesnt apply mango smoothie boy ive gotten yall mad lazy mcdonalds always lacking plus act like dips come paycheck,tried using deal location la brea didnt apply mind u local mcdonalds didnt discount mango smoothie well worth pay like 125 smoothie manager oh deal doesnt work location doesnt apply mango smoothie boy ive gotten yall mad lazy mcdonalds always lacking plus act like dip come paycheck,-0.14375,0.525
21,I mean it's McDonald's people & It does what it's meant to. This branch has a Fast drive thru service. The classic cheeseburger with 313 calories is a part of many of our childhood memories so it's always nice to revisit it haha. McDonald's also has very good soft serve ice cream 170 calories. And the Filet O Fish is just pleasant to eat 390 calories.,i mean it's mcdonald's people & it does what it's meant to. this branch has a fast drive thru service. the classic cheeseburger with 313 calories is a part of many of our childhood memories so it's always nice to revisit it haha. mcdonald's also has very good soft serve ice cream 170 calories. and the filet o fish is just pleasant to eat 390 calories.,i mean its mcdonalds people  it does what its meant to this branch has a fast drive thru service the classic cheeseburger with 313 calories is a part of many of our childhood memories so its always nice to revisit it haha mcdonalds also has very good soft serve ice cream 170 calories and the filet o fish is just pleasant to eat 390 calories,mean mcdonalds people meant branch fast drive thru service classic cheeseburger 313 calories part many childhood memories always nice revisit haha mcdonalds also good soft serve ice cream 170 calories filet fish pleasant eat 390 calories,mean mcdonalds people meant branch fast drive service classic cheeseburger 313 calories part many childhood memories always nice revisit haha mcdonalds also good soft serve ice cream 170 calories filet fish pleasant eat 390 calories,mean mcdonalds people meant branch fast drive service classic cheeseburger 313 calorie part many childhood memory always nice revisit haha mcdonalds also good soft serve ice cream 170 calorie filet fish pleasant eat 390 calorie,0.32083333333333336,0.5745370370370371
22,I was there last week . The guy taking outside orders I believe his name is Chris was absolutely adorable great  he must be new first time seeing him . I'm always there.Great !!!! customer service especially in this heat .,i was there last week . the guy taking outside orders i believe his name is chris was absolutely adorable great  he must be new first time seeing him . i'm always there.great !!!! customer service especially in this heat .,i was there last week  the guy taking outside orders i believe his name is chris was absolutely adorable great  he must be new first time seeing him  im always theregreat  customer service especially in this heat ,last week guy taking outside orders believe name chris absolutely adorable great must new first time seeing im always theregreat customer service especially heat,last week guy taking outside orders believe name chris absolutely adorable great must new first time seeing always theregreat customer service especially heat,last week guy taking outside order believe name chris absolutely adorable great must new first time seeing always theregreat customer service especially heat,0.24090909090909093,0.5220779220779221
23,Not all McDonald's are created equal. They have the best fries at this location. I think they frequently change their oil thats why everything tastes better here. I drive 3 miles just to go here.,not all mcdonald's are created equal. they have the best fries at this location. i think they frequently change their oil thats why everything tastes better here. i drive 3 miles just to go here.,not all mcdonalds are created equal they have the best fries at this location i think they frequently change their oil thats why everything tastes better here i drive 3 miles just to go here,mcdonalds created equal best fries location think frequently change oil thats everything tastes better drive 3 miles go,mcdonalds created equal best fries location think frequently change oil thats everything tastes better drive 3 miles,mcdonalds created equal best fry location think frequently change oil thats everything taste better drive 3 mile,0.4,0.3375
24,This lady was so unprofessional rushing me while she was still airing another customer. Informed the manager and got a fake apology I came here for convenience to feed my children this crap while I have a emergency happening ruined the rest of my evening. I'm never returning  it even on my worse day. Do better. McDonald's. Customer service should improve,this lady was so unprofessional rushing me while she was still airing another customer. informed the manager and got a fake apology i came here for convenience to feed my children this crap while i have a emergency happening ruined the rest of my evening. i'm never returning  it even on my worse day. do better. mcdonald's. customer service should improve,this lady was so unprofessional rushing me while she was still airing another customer informed the manager and got a fake apology i came here for convenience to feed my children this crap while i have a emergency happening ruined the rest of my evening im never returning  it even on my worse day do better mcdonalds customer service should improve,lady unprofessional rushing still airing another customer informed manager got fake apology came convenience feed children crap emergency happening ruined rest evening im never returning even worse day better mcdonalds customer service improve,lady unprofessional rushing still airing another customer informed manager got fake apology came convenience feed children crap emergency happening ruined rest evening never returning even worse day better mcdonalds customer service improve,lady unprofessional rushing still airing another customer informed manager got fake apology came convenience feed child crap emergency happening ruined rest evening never returning even worse day better mcdonalds customer service improve,-0.30000000000000004,0.725
25,"I asked for 3 bbq sauce and got 0. The fries are dried out, reason why i asked for sauce. They are moving to fast and not checking if the order is right","i asked for 3 bbq sauce and got 0. the fries are dried out, reason why i asked for sauce. they are moving to fast and not checking if the order is right",i asked for 3 bbq sauce and got 0 the fries are dried out reason why i asked for sauce they are moving to fast and not checking if the order is right,asked 3 bbq sauce got 0 fries dried reason asked sauce moving fast checking order right,asked 3 bbq sauce got 0 fries dried reason asked sauce moving fast checking order right,asked 3 bbq sauce got 0 fry dried reason asked sauce moving fast checking order right,0.09523809523809523,0.5785714285714286
26,"Decided to give this McDonald's location a positive review, since most of the reviews on here are bad and it is ridiculously hard to please the people of LA when it comes to food, especially as an ex McDonald's worker who knows how this place works.First, the service was very prompt, waited only a minute to get my food, everything that I ordered was in the bag and the taste was just perfect.","decided to give this mcdonald's location a positive review, since most of the reviews on here are bad and it is ridiculously hard to please the people of la when it comes to food, especially as an ex mcdonald's worker who knows how this place works.first, the service was very prompt, waited only a minute to get my food, everything that i ordered was in the bag and the taste was just perfect.",decided to give this mcdonalds location a positive review since most of the reviews on here are bad and it is ridiculously hard to please the people of la when it comes to food especially as an ex mcdonalds worker who knows how this place worksfirst the service was very prompt waited only a minute to get my food everything that i ordered was in the bag and the taste was just perfect,decided give mcdonalds location positive review since reviews bad ridiculously hard please people la comes food especially ex mcdonalds worker knows place worksfirst service prompt waited minute get food everything ordered bag taste perfect,decided give mcdonalds location positive review since reviews bad ridiculously hard please people la comes food especially ex mcdonalds worker knows place worksfirst service prompt waited minute food everything ordered bag taste perfect,decided give mcdonalds location positive review since review bad ridiculously hard please people la come food especially ex mcdonalds worker know place worksfirst service prompt waited minute food everything ordered bag taste perfect,0.04712121212121216,0.7507575757575757
27,I didn't even wanna leave 1 star.. This place is so dirty. The floor has trash and the trashes are full... Dirty tables .. disgusting,i didn't even wanna leave 1 star.. this place is so dirty. the floor has trash and the trashes are full... dirty tables .. disgusting,i didnt even wanna leave 1 star this place is so dirty the floor has trash and the trashes are full dirty tables  disgusting,didnt even wanna leave 1 star place dirty floor trash trashes full dirty tables disgusting,didnt even wanna leave 1 star place dirty floor trash trashes full dirty tables disgusting,didnt even wanna leave 1 star place dirty floor trash trash full dirty table disgusting,-0.4625,0.7875000000000001
28,i bit into a piece of plastic that was in my food. if you want trust issues go to this mc donalds!!,i bit into a piece of plastic that was in my food. if you want trust issues go to this mc donalds!!,i bit into a piece of plastic that was in my food if you want trust issues go to this mc donalds,bit piece plastic food want trust issues go mc donalds,bit piece plastic food want trust issues mc donalds,bit piece plastic food want trust issue mc donalds,0.0,0.0
29,The worst McD's. Undercooked raw quarter pounder. Stale hard buns. Filet o fish undercooked. Unkind service attitude. They like to charge f cups of water.Never coming back here.,the worst mcd's. undercooked raw quarter pounder. stale hard buns. filet o fish undercooked. unkind service attitude. they like to charge f cups of water.never coming back here.,the worst mcds undercooked raw quarter pounder stale hard buns filet o fish undercooked unkind service attitude they like to charge f cups of waternever coming back here,worst mcds undercooked raw quarter pounder stale hard buns filet fish undercooked unkind service attitude like charge f cups waternever coming back,worst mcds undercooked raw quarter pounder stale hard buns filet fish undercooked unkind service attitude like charge f cups waternever coming back,worst mcds undercooked raw quarter pounder stale hard bun filet fish undercooked unkind service attitude like charge f cup waternever coming back,-0.4044871794871795,0.5006410256410256
